TAIUTC       28     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
731022    2441977.500000000000     -.081100    .08200   .34200
731023    2441978.500000000000     -.084400    .08400   .34200
731024    2441979.500000000000     -.087600    .08500   .34100
731025    2441980.500000000000     -.090900    .08600   .34000
731026    2441981.500000000000     -.094100    .08800   .33900
731027    2441982.500000000000     -.097400    .08900   .33900
731028    2441983.500000000000     -.100600    .09100   .33800
731029    2441984.500000000000     -.103900    .09200   .33700
731030    2441985.500000000000     -.107200    .09300   .33600
731031    2441986.500000000000     -.110500    .09500   .33500
731101    2441987.500000000000     -.113900    .09600   .33500
731102    2441988.500000000000     -.117200    .09800   .33400
731103    2441989.500000000000     -.120500    .09900   .33300
731104    2441990.500000000000     -.123800    .10000   .33200
731105    2441991.500000000000     -.127100    .10100   .33100
731106    2441992.500000000000     -.130500    .10100   .33000
731107    2441993.500000000000     -.133800    .10200   .32900
731108    2441994.500000000000     -.137100    .10300   .32800
731109    2441995.500000000000     -.140400    .10400   .32600
731110    2441996.500000000000     -.143700    .10500   .32500
731111    2441997.500000000000     -.147000    .10500   .32400
731112    2441998.500000000000     -.150300    .10600   .32300
731113    2441999.500000000000     -.153600    .10700   .32200
731114    2442000.500000000000     -.156900    .10800   .32100
731115    2442001.500000000000     -.160300    .10800   .32000
731116    2442002.500000000000     -.163600    .10900   .31800
731117    2442003.500000000000     -.167000    .10900   .31700
731118    2442004.500000000000     -.170300    .11000   .31600
731119    2442005.500000000000     -.173600    .11000   .31500
731120    2442006.500000000000     -.176800    .11100   .31400
731121    2442007.500000000000     -.180100    .11100   .31200
731122    2442008.500000000000     -.183300    .11200   .31100
731123    2442009.500000000000     -.186600    .11200   .31000
731124    2442010.500000000000     -.189800    .11300   .30900
731125    2442011.500000000000     -.193000    .11300   .30800
731126    2442012.500000000000     -.196300    .11400   .30700
731127    2442013.500000000000     -.199500    .11400   .30600
731128    2442014.500000000000     -.202700    .11500   .30500
731129    2442015.500000000000     -.205900    .11600   .30300
731130    2442016.500000000000     -.209000    .11600   .30200
731201    2442017.500000000000     -.212200    .11700   .30100
731202    2442018.500000000000     -.215300    .11700   .30000
731203    2442019.500000000000     -.218500    .11800   .29900
731204    2442020.500000000000     -.221700    .11900   .29800
